Ports,Names
Port 1,ICMPv4
Port 2,IGMP
Port 6,TCP
Port 17,UDP
Port 21,FTP
Port 22,SSH
Port 23,TELNET
Port 25,SMTP
Port 41,IPv6
Port 43,IPVv6-Route
Port 44,IPv6-Frag
Port 47,GRE
Port 53,DNS
Port 58,ICMPv6
Port 59,IPv6-NoNxt
Port 60,IPv6-Opts
Port 67,DHCP
Port 68,DHCP
Port 80,HTTP
Port 110,POP3
Port 112,VRRP
Port 113,PGM
Port 115,L2TP
Port 143,IMAP
Port 137,NETBIOS/NETBT
Port 138,NETBIOS/NETBT
Port 139,NETBIOS/NETBT
Port 161,SNMP
Port 162,SNMP
Port 389,LDAP
Port 427,SLP
Port 445,SMB/CIFS
Port 548,AFP
Port 3389,RDP
